w,x,y
6.14,-3.85,-113.78
4.51,5.77,111.66
3.98,5.21,90.36
3.5,0.06,18.65
3.82,-4.47,-82.77
3.87,-3.67,-70.91
5.05,-0.01,-39.58
5.4,1.77,57.37
6.02,6.59,164.91
5.0,2.72,65.58
7.85,1.56,94.55
5.68,6.78,161.23
4.33,-3.09,-69.03
4.67,6.33,126.86
5.8,0.8,49.54
4.93,1.64,49.21
4.68,-2.31,-62.86
5.76,6.35,152.67
6.1,-0.46,-57.07
5.5,9.48,230.31
5.23,2.47,65.31
4.87,-1.43,-53.81
3.94,-1.78,-46.72
5.42,4.03,95.33
4.85,2.15,55.01
3.21,6.93,108.84
3.81,-4.64,-85.39
5.48,-8.24,-202.18
5.42,8.09,188.64
5.31,-5.83,-138.2
7.24,-7.09,-219.2
5.46,-9.3,-231.73
5.54,12.17,319.64
4.98,-1.95,-61.94
5.27,5.08,113.17
5.51,-7.82,-191.72
5.8,1.64,61.34
4.73,1.61,46.19
6.16,1.2,60.18
4.79,-3.37,-80.49
4.27,5.09,93.65
4.61,0.92,36.58
4.41,-2.91,-67.49
4.03,7.6,141.35
5.45,-1.23,-58.6
3.25,-4.19,-69.4
6.22,-7.2,-194.1
6.61,-0.02,-57.92
3.7,4.66,75.88
4.57,-1.43,-49.89
1.68,3.66,34.44
4.17,-5.18,-101.38
5.35,3.0,75.73
4.0,5.94,104.82
6.35,-0.58,-61.97
6.27,-3.87,-116.84
6.82,-2.51,-101.06
6.36,1.7,71.07
4.11,-2.22,-53.99
4.91,-2.75,-72.66
5.54,-2.61,-80.46
4.09,-2.09,-52.15
4.13,-1.76,-48.6
4.13,2.29,47.15
5.29,2.93,73.7
4.41,3.87,74.6
6.08,-2.23,-83.14
5.01,-3.09,-79.57
4.69,-6.6,-141.51
4.73,0.27,31.04
4.96,4.09,87.88
5.85,4.07,104.36
5.78,-1.72,-70.23
5.17,-0.38,-44.88
5.74,3.2,85.97
5.45,-3.85,-100.33
4.85,-0.44,-41.97
5.3,0.01,34.17
5.86,-3.05,-93.41
4.26,-7.41,-150.2
4.28,-6.65,-133.32
3.09,-9.77,-179.43
2.96,-2.35,-42.19
4.67,-4.38,-96.01
4.03,0.4,25.68
6.45,6.43,171.88
3.99,-0.24,-31.89
4.06,-1.5,-44.98
4.46,-9.53,-209.85
5.3,-3.56,-92.51
5.32,6.37,142.63
5.76,5.91,142.21
5.03,6.91,148.5
6.42,1.62,70.56
4.96,8.65,191.07
4.56,-3.53,-79.42
3.74,3.2,54.12
5.28,8.21,187.89
4.33,-3.54,-75.86
6.03,8.63,220.86
4.7,1.86,49.02
5.12,-1.34,-55.72
3.33,-1.16,-34.16
6.26,10.44,284.85
7.64,0.65,74.61
3.72,3.91,64.27
5.39,8.75,205.88
4.17,0.91,31.75
5.6,-0.68,-53.49
6.25,0.42,50.5
5.7,3.56,91.82
3.97,5.31,92.06
3.17,-1.4,-34.96
3.98,-4.99,-94.46
3.55,4.23,66.61
5.12,-1.84,-62.56
3.97,8.67,165.62
5.62,-6.34,-156.98
5.27,1.21,48.08
5.19,10.1,239.8
4.58,3.55,72.05
4.83,-2.9,-73.79
4.68,-0.79,-43.9
7.63,-0.13,-74.3
3.55,-1.72,-41.75
5.54,-8.19,-202.6
3.36,0.88,23.94
6.28,-6.57,-179.15
5.48,0.35,40.0
4.47,6.38,123.7
3.42,2.92,46.21
4.2,4.45,80.82
5.89,-0.07,-49.58
5.9,5.44,134.66
5.04,3.8,84.11
4.04,-6.26,-120.21
5.87,-1.53,-68.71
5.95,0.12,42.82
6.17,0.44,49.76
6.16,-0.97,-64.87
3.97,-4.94,-93.4
4.31,5.02,93.05
6.21,2.43,80.58
5.29,0.19,36.03
5.85,-0.09,-49.22
4.89,-1.39,-53.39
6.14,10.96,298.42
7.22,-5.66,-179.85
4.58,0.14,28.23
4.79,2.78,63.3
6.49,0.16,50.22
